eps,avg_N,max_N,avg_R,max_R,avg_ratio,max_ratio,max_S_prime,clusters_found
0.81,10.0,10,0.9245235184211269,0.6046734298516003,40.367451935734934,62.28225966478055,1.1486603861162676,4
0.8200000000000001,10.5,11,0.9926490453897253,0.5888032185772429,33.68296744712631,35.63723079394157,1.089156338696762,2
0.8300000000000001,10.0,10,1.0237071358987453,0.6305242759596186,31.21019264726523,40.32277276492193,1.2489742852185604,3
0.8400000000000001,10.0,10,1.2678912865256942,0.7153310569287603,19.542757286700798,19.542757286700798,1.6075483144477798,1
0.8500000000000001,10.375,12,0.9815451497397788,0.6305635524069781,35.125341640649374,53.47165371114809,1.2491298916004434,8
0.8600000000000001,10.125,11,1.0053923059586687,0.6682850534054534,33.19519898641637,47.67555639863511,1.4030507124973872,8
0.8700000000000001,10.333333333333334,12,1.0023688817351522,0.616586943589177,33.047810608842674,43.58763402959095,1.1943689954547283,6
0.8800000000000001,10.206521739130435,13,1.028138870522642,0.7454397173220297,32.153483941779065,55.048546768245664,1.7457213749255036,92
0.8900000000000001,10.197943444730077,14,1.0298614560997097,0.8690807183092973,31.78166586384419,68.29666228003613,2.3728489994209503,1167
0.9000000000000001,10.214285714285714,11,1.0560649592309177,0.6587332833534354,29.571135214274555,41.603980142868224,1.3632298506338207,14
0.9100000000000001,10.217003567181926,16,1.0554170956750275,0.8920492465147237,30.373530378222167,62.74006836435266,2.4999281918250658,1683
0.9200000000000002,10.18600097895252,19,1.0650375871852031,0.976083542768018,29.65304566484462,58.58249419945695,2.993118102252275,2043
0.9300000000000002,10.197707736389685,18,1.077153667941974,1.0786688251034753,28.983093025146484,59.71281823048148,3.6553260980976794,2443
0.9400000000000002,10.203592814371257,17,1.0876781557635555,1.0027518162727869,28.567664925360436,62.718523072493745,3.158906614850772,3006
0.9500000000000002,10.226355247981546,15,1.0988912497909915,0.956184411275994,28.05271502040534,63.037148959266716,2.872322438139144,3468
0.9600000000000002,10.225706079463858,16,1.1137941174945885,0.945154973905119,27.22459959892894,68.59254815206657,2.806441029550017,4178
0.9700000000000002,10.226045744900063,18,1.1269607634836458,0.9434590091681001,26.635521053393454,61.49694633800536,2.7963784369125904,4853
0.9800000000000002,10.239625640120078,17,1.1382299273650633,0.9737402416775932,26.252516817062073,62.23669302907638,2.9787640893907663,5663
0.9900000000000002,10.264785757392879,16,1.1567658659678048,1.0254803851054133,25.411699437995814,63.66265444418719,3.3037303140146643,6628
1.0000000000000002,10.254944219066937,17,1.1653250337711847,1.0927372786906104,24.96965226914885,61.378633728058915,3.751296494607482,7888
1.0100000000000002,10.264795474325501,16,1.1776058075282818,1.0745168259388562,24.51748075199772,66.93605823976476,3.627240181158122,9192
1.0200000000000002,10.260614525139665,17,1.1869398763593286,1.038848912862754,24.133827837014298,62.034659165854954,3.390428983198456,10740
1.0300000000000002,10.261128302785052,17,1.1995120470135407,1.0644542319965458,23.64215330199486,67.95469543851016,3.559621806283236,12603
1.0400000000000003,10.276513612352701,18,1.2144636082430937,1.1967147213787417,23.1016483813217,62.79322421429778,4.499156911317848,14766
1.0500000000000003,10.283165382335508,17,1.2274322867094791,1.1777621783193908,22.613856995077185,61.66590557857008,4.357777778471881,16870
1.0600000000000003,10.290837458329124,19,1.238281327676471,1.2602803994027385,22.240761293652003,62.637815797846784,4.989812613616547,19798
1.0700000000000003,10.301974599860822,20,1.252764389409592,1.3303734151783289,21.76435372474857,62.18315762006339,5.560284177888592,22992
1.0800000000000003,10.3133617921499,19,1.2661808155754866,1.1705115463797513,21.315873669336803,62.072424379661356,4.304287550205803,26471
1.0900000000000003,10.320304017372422,19,1.278178303849421,1.220001552299109,20.947150181095726,62.30608871911211,4.675958404737822,30393
1.1000000000000003,10.322475570032573,20,1.2900911546796454,1.3146261564453816,20.570182350170928,61.172857247058765,5.429432154716294,34998
1.1100000000000003,10.330186114337971,18,1.3036923092257808,1.289733758256209,20.16478352381398,65.47285247416094,5.225766585915078,40459
1.1200000000000003,10.337880310448782,19,1.3151305839720833,1.3756730498734202,19.844435337340276,68.12479598900086,5.945389767301574,46771
1.1300000000000003,10.347760942445639,20,1.329229104706654,1.3874182556215886,19.429236136491966,64.66704902745903,6.047344112085185,53393
1.1400000000000003,10.361072469528352,19,1.3427078551167053,1.3293643837151259,19.063811511573384,63.85567944605024,5.551852899943916,60384
1.1500000000000004,10.364909662327971,20,1.3550760841506488,1.2944958772260196,18.729884069100358,62.6791881157371,5.264428309925658,69683
1.1600000000000004,10.37139198232244,20,1.368309575670879,1.4016637879831977,18.38386316563927,61.60631730885264,6.17216574105719,79649
1.1700000000000004,10.386342677466306,20,1.3825019269059666,1.4385599769680737,18.0287786032637,63.191449702220055,6.501384019657785,90003
1.1800000000000004,10.391632902123504,20,1.3948932272575727,1.4361614252828565,17.721942401951402,62.611914688786094,6.479722210951291,102425
1.1900000000000004,10.404007407788466,20,1.4072184571644337,1.4315004324739542,17.431713955332093,62.78527064301165,6.437731208228709,116634
