eps,lambda_prime_mean,lambda_prime_max,N_prime_mean,N_prime_max,num_clusters,ratio_shapiro_p,ratio_ks_p,N_prime_chi_p,N_prime_ks_p
1.19,5.548686885110154,19.985172352395534,10.404007407788466,20,116634,5.356776269294098e-47,1.8053694449153625e-32,0.0,0.0
1.2,5.442393309500966,19.814094615849168,10.415647256286574,21,132266,3.8123767571482854e-51,3.767967756238495e-35,0.0,0.0
1.21,5.347348609932005,20.140821699245375,10.424485194548765,25,149911,5.311653236888905e-47,1.9777286419455918e-33,0.0,0.0
1.22,5.25423311293915,19.811524914897475,10.434009910991218,23,168298,2.91689177777795e-50,1.4560560127925084e-38,0.0,0.0
1.23,5.169782639526913,21.428545034171428,10.444360376833068,21,190323,2.6989547853916597e-45,4.317480487927112e-30,0.0,0.0
1.24,5.083145543721397,18.484598069611067,10.45934318754647,24,213851,4.67517759699992e-53,1.3211015256660552e-40,0.0,0.0
1.25,4.990255984989167,19.92269861453981,10.470630957784838,25,242330,8.112531972083083e-54,2.82151334021835e-47,0.0,0.0
1.26,4.907946723549722,19.70216203103075,10.479848039808877,24,272703,9.142643493849673e-51,8.186481226058682e-38,0.0,0.0
1.27,4.827920282610141,19.82287835534332,10.487198222758133,28,305192,3.0051894338678617e-47,1.4127541665466507e-36,0.0,0.0
1.28,4.7483931054448165,19.57294812321712,10.501031265154923,24,342298,1.9567086891913825e-49,5.005425957334942e-33,0.0,0.0
1.29,4.667351769965894,19.579029641581318,10.514954517000138,26,381791,2.3842665452501227e-49,4.1631582751236124e-42,0.0,0.0
1.3,4.59017064482375,19.88271145288493,10.528273983903704,24,426682,1.2574647167939713e-48,6.915638724548961e-34,0.0,0.0
1.31,4.514720761926219,19.441606950480633,10.539561531175641,26,476157,8.86385811264218e-53,2.9947156152667304e-38,0.0,0.0
1.32,4.4411180572809865,21.164948010048956,10.551208415407155,24,531026,2.031067483389076e-51,2.3063120338948075e-38,0.0,0.0
1.33,4.367644991601396,19.863986720047084,10.566943520471632,26,591648,1.835222544422565e-51,1.8063964216353848e-42,0.0,0.0
1.34,4.299412857724158,19.743611251742657,10.580222300742626,28,656588,5.556774631981477e-50,1.1796635551684915e-36,0.0,0.0
1.35,4.231434416110569,19.937675528886455,10.590502536993542,26,730195,4.837022854773323e-54,1.7116430419495888e-38,0.0,0.0
1.36,4.163058008454594,19.640134398541974,10.608413764706027,28,811147,8.471164193547264e-50,1.4442495207043273e-36,0.0,0.0
1.37,4.098285924428308,19.68076977695928,10.619548502115178,27,898033,3.1083727993877436e-48,6.800128943947687e-38,0.0,0.0
1.38,4.030275493210741,20.39866161521595,10.635328582787384,36,992307,1.0388883223165936e-48,4.044007377314735e-35,0.0,0.0
1.39,3.9686311549406046,19.88689893185544,10.651018471331192,28,1096889,2.913821159122555e-49,2.8042887269984345e-37,0.0,0.0
