eps,a_emp,a_pred,b_emp,b_pred,loc_emp,loc_pred,scale_emp,scale_pred,KS_emp,KS_formula_bp,KS_formula_ig
1.1,40.90361269567826,81.94870478916617,10.04798927094114,10.400316430358037,7.423985016620458,6.585854019922372,2.907774892520433,1.5652586143773528,0.0024770573010774455,0.02869020726123639,0.023909720569251156
1.11,41.39455525410363,81.94870478916617,9.91756583435427,10.400316430358037,7.331348681146433,6.4677245062138375,2.7641567214774274,1.5371827963611695,0.003446896244752362,0.02423040620384259,0.023061184852576508
1.12,41.88988319933973,81.94870478916617,9.867043543060918,10.400316430358037,7.163857709251117,6.352745028783538,2.6835224995158478,1.5098556468403992,0.003971877843639948,0.027488648538512073,0.023347850157452124
1.13,42.38836126676108,81.94870478916617,9.909333536211854,10.400316430358037,7.048237982684971,6.2408045767922875,2.602206467926583,1.4832507818909841,0.00311544658655194,0.020893686966521607,0.022012056546729636
1.14,42.8764533444812,81.94870478916617,10.137850670731906,10.400316430358037,6.822513137781314,6.131796986846777,2.608427176722402,1.457342969680361,0.003504500735709959,0.020376969403698708,0.02201426521201008
1.15,43.38743982218395,81.94870478916617,9.771460529366468,10.400316430358037,6.860353929940856,6.025620691195518,2.399061361372528,1.4321080706212457,0.0033046649354963042,0.01841953199923424,0.021453511216557426
1.16,43.88591845564231,81.94870478916617,10.092905920844917,10.400316430358037,6.5727800007274055,5.922178481053858,2.446132239505192,1.4075229811211336,0.0027890288024412513,0.017062407759317555,0.020007489550552926
1.17,44.39158838591708,81.94870478916617,10.365403624978551,10.400316430358037,6.35813561322327,5.821377284028104,2.461101323531524,1.383565580682736,0.0038876362722890523,0.014750396736237764,0.019801748878088027
1.18,44.88739769517636,81.94870478916617,10.213770558062802,10.400316430358037,6.287696685939072,5.723127954686923,2.3470302161588363,1.3602146821291277,0.003633856791721013,0.014475014233535366,0.018779418021486603
1.19,45.38657573795748,81.94870478916617,10.09590355975942,10.400316430358037,6.2542695738450265,5.627345077399951,2.239289977686249,1.337449984744437,0.003543141355724644,0.015420437412499988,0.020385357663170282
1.2,45.88505952823175,81.94870478916617,10.013559896387926,10.400316430358037,6.120853701860931,5.533946780629216,2.155768152849847,1.3152520301365258,0.0028138529237708987,0.008579991172222995,0.019546975880471384
1.21,46.39062625677988,81.94870478916617,10.270400739377475,10.400316430358037,5.965632397805812,5.442854561919316,2.1623971595019973,1.2936021606424406,0.005357384358697592,0.009518878926951135,0.02274806164334464
1.22,46.89224639192405,81.94870478916617,10.527539876950264,10.400316430358037,5.709153906227428,5.3539931228877125,2.1896593784384866,1.2724824801105867,0.0057013019737642,0.008505659217164535,0.02081922922128754
1.23,47.38883732462698,81.94870478916617,10.228443055173472,10.400316430358037,5.727178577462035,5.267290213567368,2.046378859811226,1.251875816905676,0.003395903855640925,0.007904283456070194,0.021453353053976443
1.24,47.89123539951784,81.94870478916617,10.303020672370046,10.400316430358037,5.622327445125899,5.182676485500826,2.006553443112469,1.2317656889936246,0.0047402027313984685,0.008192628589834577,0.023263337773322124
1.25,48.38932440648488,81.94870478916617,10.211741315779925,10.400316430358037,5.530252462190655,5.100085353027885,1.932051748608596,1.2121362709738221,0.005146500547276611,0.004877772416379461,0.029600594717851703
1.26,48.89235471355942,81.94870478916617,10.368401668464015,10.400316430358037,5.360304099574591,5.019452862248722,1.92472116783911,1.1929723629356241,0.0036577306075480376,0.005253673613006771,0.029896674959387415
1.27,49.39262557231774,81.94870478916617,10.511015174256096,10.400316430358037,5.248342228900848,4.940717567180898,1.907493238149633,1.1742593610246121,0.005375938815629144,0.007704456352417011,0.031232924663623707
1.28,49.89334875995678,81.94870478916617,10.548679352720296,10.400316430358037,5.128682151385689,4.863820412662396,1.870309238286224,1.1559832296121808,0.005816568662352362,0.009697752470509302,0.033623430157082246
1.29,50.394041542987246,81.94870478916617,10.556908868880836,10.400316430358037,5.052965482314718,4.788704623583961,1.821532378572896,1.138130474969411,0.004546714511164951,0.010185097371916862,0.03464300654548069
1.3,50.89486752870777,81.94870478916617,10.5708620114841,10.400316430358037,4.965584040419712,4.715315600062763,1.7779155999181824,1.120688120353016,0.005873649712754725,0.013082167285627722,0.03806657152106896
