eps,n,w,meanS,gamma_k,gamma_th,invg_k,invg_scale,ks_invg
1.4,10,0.682998563738445,2.6301516804596066,20.816555256558885,0.1263490355653776,20.81655422114283,248.64397023268825,0.030922347473554823
1.4,11,0.15057855392096098,2.8454337653196546,26.755827222954277,0.10634818881168842,26.75583121238801,324.94698924182046,0.03249249213504213
1.4,12,0.07408977543744824,3.3561428782085114,28.899128365403907,0.11613301397097706,28.899123191082552,324.62005416895613,0.026638264463133
1.4,13,0.0452645514451039,3.9856276593442694,30.32865718012623,0.1314145771661784,30.32865403811134,310.7775478533898,0.020006822705684324
1.4,14,0.02510317448511924,4.560473087350104,34.09484577453326,0.1337584313332338,34.09484753489867,328.818894441281,0.021046449851763682
1.4,15,0.011976834704310272,5.0903043954894,37.798252919479765,0.13467036178452715,37.798248665586385,349.92023470819123,0.021004494673936946
1.4,16,0.005318630246114739,5.610548447433338,41.08618744845111,0.13655558706858908,41.086190211387205,368.0954215180608,0.021635379339791982
1.4,17,0.0024940376138555443,6.146157083743357,42.82694919350444,0.1435114384630401,42.82693816241274,372.1449725512134,0.019994905748398295
1.4,18,0.001149505076498695,6.692923014428509,47.40566461762241,0.14118403503914814,47.405657791432716,400.5315494487178,0.03312160734674646
1.4,19,0.000547894943004051,7.259900855342741,52.46393067532837,0.13837889692769004,52.46393072553109,431.35378193808026,0.02403792348812106
