R_tilde,R_at_eps1_1,R_at_eps1_3,p_master,p_empirical,p_invgamma_floc0,p_loglogistic,z_master,z_empirical,z_invgamma_floc0,z_loglogistic
20.0,16.440718626553295,11.530024824902732,0.808001233977585,0.8126061840830365,0.8125764033459689,0.8134560654799216,-0.870554348386978,-0.8875411312838466,-0.8874304543084709,-0.8907042222880789
22.0,18.084790489208622,12.683027307393004,0.6466506794649871,0.6506622667926573,0.668356968821859,0.6722465512918457,-0.3762935941678294,-0.38710906566398223,-0.4353807753032568,-0.44612507977984645
24.0,19.728862351863953,13.836029789883277,0.4863580758778424,0.48818960111986975,0.5140437229696401,0.5074436041950604,0.034201899614113615,0.029608605359037327,-0.03520966674919041,-0.018659431473292524
26.0,21.372934214519283,14.989032272373551,0.35075778922659,0.3506554810761442,0.37341804823585223,0.3535063493868233,0.3832753982150176,0.38355140647596764,0.32281401749504157,0.37587113741961037
28.0,23.01700607717461,16.142034754863825,0.24647686562470375,0.24432057162810913,0.25913802279292375,0.23323489537803044,0.6856184700862645,0.6924717142201372,0.6460051107511204,0.7282349238168205
30.0,24.66107793982994,17.295037237354098,0.17071082854367253,0.16824285140110973,0.1736119317863867,0.1498055142071213,0.9513600026187153,0.9611321967556297,0.9399877123497621,1.0372678849256918
32.0,26.30514980248527,18.44803971984437,0.1174656518209547,0.11523321381508451,0.1132987429443805,0.09561984373779929,1.1877515602190638,1.199158224691106,1.2091701426733614,1.3069205751569324
34.0,27.9492216651406,19.601042202334643,0.08073467173066112,0.07909162933855812,0.07254911327914247,0.06141968973900923,1.400146865263586,1.4112081129457783,1.4570657681714743,1.5429645414475632
36.0,29.59329352779593,20.754044684824915,0.05562488265497485,0.05472401080497925,0.04584826107940553,0.03996461268844542,1.592600838548604,1.6006790591157318,1.6865156560671002,1.7510968695417695
38.0,31.23736539045126,21.907047167315188,0.03850941500086459,0.03816970482620867,0.028726615028032056,0.026420207768967696,1.7682517276428866,1.7723323173857657,1.8998467785771622,1.9362228297235418
40.0,32.88143725310659,23.060049649805464,0.02682984318776465,0.026852035457000614,0.017909033463553863,0.017761982586357753,1.9295736495955642,1.9292158530317058,2.098986770841292,2.102334720360696
42.0,34.52550911576191,24.213052132295736,0.01882942944809298,0.01925973490431527,0.011140336790833935,0.012141779800614812,2.07854860661465,2.0692837266812334,2.285548711691006,2.252613017777672
44.0,36.169580978417244,25.36605461478601,0.013318833879985417,0.013971299426535168,0.006929550059260461,0.00843382812197346,2.2167867443876887,2.198091321415826,2.4608947888022534,2.3895798607337264
46.0,37.813652841072575,26.51905709727628,0.009497926100513376,0.010118614081078468,0.004317396011519938,0.00594752186233505,2.345612358363266,2.3219202881962335,2.626184812905243,2.515242788620468
48.0,39.457724703727905,27.672059579766554,0.0068291516530465,0.007538855855528218,0.0026978108272828582,0.0042540452221737635,2.466126646070952,2.430507074237176,2.782413678731926,2.631212159165409
50.0,41.101796566383236,28.82506206225683,0.00495069317039008,0.005798080849574883,0.001692408277139986,0.00308326803910819,2.5792543121548714,2.5242009614794303,2.9304406400805596,2.7387920663593146
52.0,42.745868429038566,29.978064544747102,0.0036180495453734425,0.004337726186041253,0.0010666713149554106,0.0022624084869565797,2.685778733846284,2.6245854388012373,3.0710124392088,2.8390492698871554
54.0,44.38994029169389,31.131067027237375,0.002665108898623029,0.003218829147906184,0.0006758246100705827,0.001679248665550692,2.7863688752993276,2.724614608586528,3.2047817644194923,2.9328651469456366
56.0,46.03401215434922,32.28406950972765,0.001978307346348616,0.0024834205322947518,0.0004306225444498872,0.001259811142273138,2.881600153566658,2.8091764843409583,3.332322115448169,3.020974920746518
58.0,47.67808401700455,33.43707199221792,0.0014794740944454716,0.001854707906651044,0.00027602548167502994,0.0009546248580479812,2.9719708055689797,2.9018707250329134,3.4541398776040437,3.103997457575499
60.0,49.32215587965988,34.590074474708196,0.0011144144421931987,0.0014312856786271298,0.0001780249777736058,0.0007301532617545183,3.057914863680783,2.9821228185221367,3.5706842058932957,3.1824580821455726
62.0,50.96622774231521,35.74307695719847,0.0008452798695914494,0.0010787127092181236,0.00011554457521908301,0.0005633666506906777,3.1398125435815745,3.067659153545871,3.6823551753547434,3.2568062052828353
64.0,52.61029960497054,36.89607943968874,0.0006454421599836452,0.0008235619534631537,7.547220137890767e-05,0.00043825649611028993,3.2179986354287156,3.147430263410815,3.789510547301341,3.3274290717297466
66.0,54.254371467625866,38.04908192217901,0.0004960291330542644,0.0006515607562589986,4.961409565493628e-05,0.0003435661403081714,3.292769338498865,3.215291433124189,3.8924714220208796,3.394662582842816
68.0,55.8984433302812,39.202084404669286,0.00038356824525226385,0.0005231045031567808,3.2824607675107305e-05,0.0002712939274782667,3.3643878708517594,3.2777962022557423,3.9915269890886087,3.45879989470232
70.0,57.54251519293653,40.35508688715956,0.000298372972188219,0.0004177170626090974,2.1855142429753643e-05,0.00021569343655247755,3.4330891064327482,3.340779936638462,4.086938541427176,3.520098309147435
72.0,59.18658705559186,41.50808936964983,0.0002334302348458574,0.00034249065588207915,1.4643360877111318e-05,0.00017259775135225488,3.4990834336840693,3.395520951306751,4.1789428848481815,3.5787848430926443
74.0,60.83065891824719,42.6610918521401,0.00018362797722519983,0.00025657640763252534,9.872489373161992e-06,0.000138957560879338,3.562559986249955,3.4737950589518305,4.267755248231089,3.635060765490092
