n,A_mean,A_k,B_mean,B_k,data_mean,data_k
10,1.31545335046641,18.429573017096615,1.225410019202028,15.606062259561835,1.328114107631489,21.481179118874724
11,1.4021862161541065,22.09281846112153,1.3196670273324758,18.748069703995064,1.4400009427004177,27.55944628288535
12,1.4778505498469867,25.998310384701814,1.4029185037398637,22.37548896807634,1.7059515958665938,28.80079241889925
13,1.5451749901619611,29.946699383862324,1.477658789294714,26.132264285765594,2.0218402347708517,32.106487812174876
14,1.6084148531383562,34.513403242688334,1.5468013715142392,29.945710710218254,2.3187103456114997,36.03196790730042
15,1.6618936596843334,38.15577668807137,1.606659630151437,33.97191137794715,2.5887783858553335,39.89270390733596
