eps,med_2lnLR,q95_2lnLR,med_N,med_R,p_naive_med,sigma_med
1.0,45.3165348295926,54.55603799273458,10.0,23.90543393639789,1.6762792479612455e-11,6.7317557018650485
1.1,41.67925034134413,51.23463103211984,10.0,19.56367333339464,1.0754431757263629e-10,6.4559468973454335
1.2,38.39731160180775,47.99668744698609,10.0,16.245565447627445,5.771184438607232e-10,6.196556430938699
1.3,35.45081297062095,44.925781986104816,10.0,13.718799928739061,2.615731873346401e-09,5.954058529324427
1.4,32.74221336154526,42.13720167106849,10.0,11.700625388013394,1.0522698540621026e-08,5.722081208926107
1.5,30.239746675893933,39.49776120214072,10.0,10.041106685406916,3.818043179268752e-08,5.499067800627116
1.6,27.95450232564335,36.93264605634297,10.0,8.726818336990204,1.2420163416335797e-07,5.287201748150276
