eps,master,n,median_z,mean_z,d_1,d_2,std,ks_z
1.1,LL-current,34998,-0.05309095231476823,0.03823049825400987,-0.06286073489913707,-0.07208983370478311,0.9973526197526195,0.029413031274974827
1.2,LL-current,132266,-0.06714572228305524,0.02951530214890699,-0.06900488409719807,-0.08024738027913447,0.9934524931090444,0.030160844394451047
1.3,LL-current,426682,-0.054227032487627946,0.038684077945376344,-0.06528046648323577,-0.07040606353209178,0.9858493495434307,0.03032195291826996
1.4,LL-current,1210086,-0.03973436007196306,0.04758435356997979,-0.06036843662351271,-0.05930652862689101,0.9841405305702364,0.030166522900402996
1.1,invgamma-10,34998,-0.0039782993803223095,-0.004301823054781895,0.00020001142922448922,-0.003543059603405896,1.006258416012358,0.00487470872317225
1.2,invgamma-10,132266,-0.01698392051927767,-0.01219566738833582,-0.006910317088291762,-0.013548455385359814,1.0034511524720338,0.007083638624202693
1.3,invgamma-10,426682,-0.005028164569111523,-0.0017752222589308474,-0.0036959609264041737,-0.0045068692843850955,0.9953025750032112,0.0052860531547404
1.4,invgamma-10,1210086,0.008346386367446805,0.006845119895387311,0.0022998365405433874,0.0066838224721218475,0.9948387467665235,0.00872784660961709
1.1,invgamma-free,34998,-0.005919589451268593,-0.0039792884610263075,-0.0012286416366649733,-0.00591462369278245,1.007863046292808,0.005770603797860263
1.2,invgamma-free,132266,-0.01895244255392569,-0.011900317250150373,-0.008520708269698973,-0.0156880831052576,1.0050347894086735,0.007828434903476011
1.3,invgamma-free,426682,-0.0069716809055146815,-0.0014961168745984772,-0.005568549880238638,-0.006953656352974791,0.9968679837090142,0.005002447333409599
1.4,invgamma-free,1210086,0.0064315979911912236,0.00714215616723401,0.0006032629085866437,0.004441006672253056,0.996354553718168,0.008014266335757164
