eps,n,meanN,meanR,medR,stdR,meanRt,medRt,stdRt,meanS,meanU,medU,frac_cens,Rt_q05,R_q05,u_q05,Rt_q25,R_q25,u_q25,Rt_q50,R_q50,u_q50,Rt_q75,R_q75,u_q75,Rt_q90,R_q90,u_q90,Rt_q95,R_q95,u_q95,Rt_q99,R_q99,u_q99
0.95,3468,10.226355247981546,28.05271502040534,26.589461701974948,6.907314081636863,25.31757530591582,23.996989186032394,6.233850958677269,1.2075619788672074,1.33801881314926,1.3336987941098268,0.0002883506343713956,17.711630742747463,19.625075615232646,0.8553337902035797,20.889145770014643,23.145867889212898,1.1239781203797532,23.996989186032394,26.589461701974948,1.3336987941098268,28.30718732283707,31.36530451283886,1.536702763993639,33.279623684113226,36.87492928987615,1.723028200129018,37.14116240864007,41.153642558049945,1.8358355843889884,46.63670731655958,51.675021957406734,2.132122695366252
1.0,7888,10.254944219066937,24.96965226914885,23.90543393639789,5.94548871186213,24.96965226914885,23.90543393639789,5.94548871186213,1.357982434333813,1.357982434333813,1.3415050779710502,0.0,17.509524016550667,17.509524016550667,0.8741693677980449,20.704334910215795,20.704334910215795,1.1386649359741947,23.90543393639789,23.90543393639789,1.3415050779710502,27.979397029671027,27.979397029671027,1.560107220285804,32.71289864530841,32.71289864530841,1.7543538023335652,36.20972021543715,36.20972021543715,1.873046145039126,44.32678030962359,44.32678030962359,2.1804134645900133
1.05,16870,10.283165382335508,22.61385699507719,21.466041658106853,5.600612457434188,24.9317773370726,23.666310928062806,6.174675234321192,1.506590018456861,1.3665215586910302,1.3562741838748684,0.0,17.497721899139638,15.870949568380622,0.8690115006629988,20.622216854592587,18.70495859826992,1.1481667131397257,23.666310928062806,21.466041658106853,1.3562741838748684,27.866647415264488,25.275870671441716,1.57027314070239,32.81463793217471,29.76384392941017,1.763352608157176,36.51556921646889,33.1206977020126,1.886374802139342,45.28403986856415,41.07395906445728,2.205151659728632
1.1,34998,10.322475570032573,20.570182350170928,19.56367333339464,5.1214811700330785,24.889920643706823,23.672044733407514,6.196992215740026,1.6643351873826608,1.375483625936083,1.3591887850321214,0.0,17.44326223573128,14.415919203083698,0.8695613337950308,20.59627442906984,17.02171440418995,1.1521152214906218,23.672044733407514,19.56367333339464,1.3591887850321214,27.753898103296862,22.937105870493273,1.5737595175224994,32.673371928466906,27.00278671774124,1.7751119839332676,36.54664884303588,30.20384201903791,1.9098602713892547,45.73148923524769,37.79461920268404,2.357422615403917
1.15,69683,10.364909662327971,18.729884069100358,17.774527376020327,4.690454297234397,24.770271681385218,23.50681245478688,6.203125808092489,1.8362311938370564,1.388454588912708,1.370143780578508,0.0,17.38359431690628,13.144494757585091,0.8769727345893956,20.521215309282958,15.516987001348173,1.1612949950524651,23.50681245478688,17.774527376020327,1.370143780578508,27.572521820706406,20.84878776612961,1.5849549597591355,32.545118124458476,24.60878497123515,1.7973886747429495,36.2971200936372,27.445837499914713,1.9441625010763033,45.79275726495574,34.62590341395519,2.434031043171018
1.2,132266,10.415647256286574,17.097782839074476,16.245565447627445,4.281375594842944,24.620807288267248,23.39361424458352,6.16518085657384,2.0225566228184735,1.4045532102906069,1.3811039952520128,0.0,17.290657172886878,12.007400814504777,0.8847918061700799,20.406142773727897,14.170932481755484,1.1696912239556887,23.39361424458352,16.245565447627445,1.3811039952520128,27.421403912591895,19.042641605966594,1.6010703050940835,32.24713986174163,22.393847126209465,1.821073934531832,35.98795741172566,24.99163709147615,1.9870685507829327,45.57846333721337,31.65171065084262,2.531012913818051
1.25,242330,10.470630957784838,15.677351541974463,14.90496152762932,3.9155148743059747,24.4958617843351,23.289002386920814,6.117991991103086,2.2183567685520056,1.4197483318732833,1.3908555977843364,0.0,17.223857449005436,11.023268767363477,0.8918865640824775,20.341878888683723,13.018802488757583,1.1786931535705731,23.289002386920814,14.90496152762932,1.3908555977843364,27.2436690597471,17.435948198238144,1.6129124613012713,32.04198206336965,20.50686852055658,1.8424315415920955,35.73356699743559,22.869482878358777,2.0339296215740386,45.201451142490356,28.928928731193828,2.6444253551063284
1.3,426682,10.528273983903704,14.42044637650181,13.717021674433816,3.5834127046899176,24.370554376288066,23.181766629793152,6.055967470925961,2.4260989237198176,1.4355614933253356,1.4008818256624926,0.0,17.148192387551145,10.146859400917837,0.8973067809047914,20.25829265586482,11.98715541767149,1.1869036090476033,23.181766629793152,13.717021674433816,1.4008818256624926,27.09922560040075,16.035044733964938,1.6281279476843828,31.8456742556618,18.843594234119408,1.8714592095219775,35.546259809977556,21.033289828389083,2.0867371216757262,44.89141716623206,26.562968737415417,2.731954137354607
1.35,730195,10.590502536993542,13.293443275799975,12.65167297929656,3.3041733116487575,24.22730037014545,23.057674004767982,6.021855860479862,2.6496353811824624,1.4538465740370163,1.41193648080167,0.0,17.047712008728134,9.354025793540812,0.9056832845273737,20.146756808479523,11.054461897656802,1.1961089828443217,23.057674004767982,12.65167297929656,1.41193648080167,26.943910525241563,14.784038696977536,1.6446997783927213,31.655241068402123,17.36913090172956,1.9052318486248163,35.242191380962595,19.33727922137865,2.155049541156109,44.6283698879583,24.487445754709626,2.8320164969951853
1.4,1210086,10.66352887315447,12.285231429773855,11.699677843156373,3.0465318208203223,24.07905360235675,22.931368572586486,5.97120236880783,2.890147071669773,1.4745648324845781,1.424078202500912,0.0,16.92828190090063,8.636878520867668,0.9123112284690919,20.03817304255457,10.22355767477274,1.2054947981752058,22.931368572586486,11.699677843156373,1.424078202500912,26.773610517358705,13.660005365999341,1.6634308558346613,31.4204875272059,16.03086098326832,1.9468081785432867,35.030615446512016,17.8727629829143,2.241032576192469,44.22822582677611,22.565421340191897,2.941612919149002
