twolnLR,p_bruteforce,p_gpd,p_invgamma_mix,lo,hi,z_mix
50.0,0.027059108160827423,0.02709117374250862,0.018883106655647762,0.01834075775806359,0.01948516298113123,2.0773831154516227
55.0,0.005171397033251176,0.005304107180022238,0.0020424221687735194,0.0018991935886396676,0.002187904574842345,2.871534312268077
60.0,0.0008089758516928009,0.0008438457411145263,0.0001393115448634899,0.0001195827012796637,0.00016798463494556058,3.634404821145807
63.0,0.0002570577472668713,0.00024746031696789916,2.2294591552728867e-05,1.7816809283415757e-05,3.0090391177959472e-05,4.082315627769033
70.0,7.5605219784373915e-06,8.715190570840797e-06,1.6722757546327275e-07,1.044098993325471e-07,3.1426756232359085e-07,5.102918449674474
80.0,0.0,1.0452784776371707e-08,4.138441666452759e-11,1.722905225543263e-11,1.4604361026693123e-10,6.495480454595977
90.0,0.0,2.4331687050560596e-14,3.059369528467064e-15,8.365433349942915e-16,2.288416530939065e-14,7.801475699789511
100.0,0.0,0.0,9.463401076263579e-20,1.9860049556782674e-20,1.6055808187424376e-18,9.0193155908386
110.0,0.0,0.0,1.6181963337756397e-24,3.448388941815042e-25,6.302511485208234e-23,10.152301579224423
