twolnLR,p_bruteforce,p_powerlaw,lo,hi,z
50.0,0.027059108160827423,0.03193724928289869,0.030800416537333914,0.03312127818872548,1.8530548413549635
55.0,0.005171397033251176,0.008707969938513981,0.008105482859254607,0.009369517385578303,2.377806976695738
60.0,0.0008089758516928009,0.0023816829886897564,0.0021346538919247773,0.0026749697791743025,2.8226155072909114
63.0,0.0002570577472668713,0.0010993033021446015,0.000962959160704448,0.0012700395063503162,3.062003801399105
70.0,7.5605219784373915e-06,0.00018309681705186757,0.00015185716901584692,0.00022804923771836574,3.5633201375826524
80.0,0.0,1.4476637225065867e-05,1.1056885114897602e-05,2.068772145755841e-05,4.181546717047338
90.0,0.0,1.1704576519578317e-06,8.1725608686205e-07,2.0145091569934846e-06,4.721517460713984
100.0,0.0,9.651386362714495e-08,6.10124773389652e-08,2.1284304851576293e-07,5.205929690483115
110.0,0.0,8.109928677089064e-09,4.58602305355383e-09,2.455155495050656e-08,5.648134167658265
